--- MOHE ORPHANS REPORT ---
Courses present in MOHE data but NOT found in HalaTuju.

[UA PROGRAMS] Orphans: 221
          code                                                        program_name                                     university
230  UE4214003                 DIPLOMA REKA BENTUK SERAMIK INDUSTRI KREATIF Baru #                      Universiti Teknologi Mara
232  UD4214001                                  DIPLOMA REKABENTUK PERINDUSTRIAN #                Universiti Sultan Zainal Abidin
233  UA4440001                                                       DIPLOMA SAINS             Universiti Pendidikan Sultan Idris
234  UE4545004                                                       DIPLOMA SAINS                      Universiti Teknologi Mara
235  UA4461001                                           DIPLOMA SAINS (MATEMATIK)             Universiti Pendidikan Sultan Idris
236  UE4462002                                               DIPLOMA SAINS AKTUARI                      Universiti Teknologi Mara
237  UE4581004                                              DIPLOMA SAINS GEOMATIK                      Universiti Teknologi Mara
238  UB4545001                                                DIPLOMA SAINS GUNAAN            Universiti Tun Hussein Onn Malaysia
239  UJ4545001                                              DIPLOMA SAINS INDUSTRI  Universiti Malaysia Pahang Al-Sultan Abdullah
240  UD4723001                                         DIPLOMA SAINS KEJURURAWATAN                Universiti Sultan Zainal Abidin
242  UA4481001                                              DIPLOMA SAINS KOMPUTER             Universiti Pendidikan Sultan Idris
243  UC4481002                                              DIPLOMA SAINS KOMPUTER            Universiti Teknikal Malaysia Melaka
244  UD4481003                                              DIPLOMA SAINS KOMPUTER                Universiti Sultan Zainal Abidin
245  UE4481001                                              DIPLOMA SAINS KOMPUTER                      Universiti Teknologi Mara
246  UJ4481001                                              DIPLOMA SAINS KOMPUTER  Universiti Malaysia Pahang Al-Sultan Abdullah
247  UP4481001                    DIPLOMA SAINS KOMPUTER (KAMPUS BINTULU, SARAWAK)                      Universiti Putra Malaysia
248  UE4461001                                             DIPLOMA SAINS MATEMATIK                      Universiti Teknologi Mara
249  UA4813001                             DIPLOMA SAINS SUKAN DAN KEJURULATIHAN #             Universiti Pendidikan Sultan Idris
250  UD4221003                                     DIPLOMA SEJARAH & TAMADUN ISLAM                Universiti Sultan Zainal Abidin
252  UE4211002                                           DIPLOMA SENI HALUS Baru #                      Universiti Teknologi Mara
254  UE4811003                                               DIPLOMA SENI KULINARI                      Universiti Teknologi Mara
255  UE4215002     DIPLOMA SENI LUKIS DAN SENI REKA (SENI REKA LOGAM HALUS) Baru #                      Universiti Teknologi Mara
256  UE4215001         DIPLOMA SENI LUKIS DAN SENI REKA (SENI REKA TEKSTIL) Baru #                      Universiti Teknologi Mara
257  UE4212001                                                DIPLOMA SENI MUZIK #                      Universiti Teknologi Mara
258  UE4811001                                                 DIPLOMA SENI PASTRI                      Universiti Teknologi Mara
259  UE4213005                                     DIPLOMA SENI REKA GRAFIK Baru #                      Universiti Teknologi Mara
261  UE4581001                                         DIPLOMA SENIBINA LANDSKAP #                      Universiti Teknologi Mara
262  UE4343001                                  DIPLOMA SISTEM MAKLUMAT PERAKAUNAN                      Universiti Teknologi Mara
264  UE4462001                                                   DIPLOMA STATISTIK                      Universiti Teknologi Mara
265  UD4221007                                                     DIPLOMA SYARIAH                Universiti Sultan Zainal Abidin
266  UZ4221001                                DIPLOMA TAHFIZ DAN TAFSIR AL-QURAN #        Universiti Pertahanan Nasional Malaysia
267  UA4212002                                                      DIPLOMA TARI #             Universiti Pendidikan Sultan Idris
268  UE4212004                                            DIPLOMA TARI PERSEMBAHAN                      Universiti Teknologi Mara
269  UE4212002                                                      DIPLOMA TEATER                      Universiti Teknologi Mara
270  UA4212003                                                    DIPLOMA TEATER #             Universiti Pendidikan Sultan Idris
272  UE4620001                                        DIPLOMA TEKNOLOGI AKUAKULTUR                      Universiti Teknologi Mara
273  UB4213001                                           DIPLOMA TEKNOLOGI ANIMASI            Universiti Tun Hussein Onn Malaysia
275  UE4582001                                            DIPLOMA TEKNOLOGI BINAAN                      Universiti Teknologi Mara
276  UE4213002                                           DIPLOMA TEKNOLOGI FILEM #                      Universiti Teknologi Mara
277  UE4581005                                        DIPLOMA TEKNOLOGI GEOSPATIAL                      Universiti Teknologi Mara
278  UE4545001                                   DIPLOMA TEKNOLOGI HIGIEN INDUSTRI                      Universiti Teknologi Mara
280  UE4543001                                DIPLOMA TEKNOLOGI INDUSTRI PERKAYUAN                      Universiti Teknologi Mara
282  UB4524001                                DIPLOMA TEKNOLOGI KEJURUTERAAN KIMIA            Universiti Tun Hussein Onn Malaysia
283  UR4524001                           DIPLOMA TEKNOLOGI KEJURUTERAAN KIMIA Baru                     Universiti Malaysia Perlis
284  UR4521003                            DIPLOMA TEKNOLOGI KEJURUTERAAN MEKANIKAL                     Universiti Malaysia Perlis
286  UJ4521002                            DIPLOMA TEKNOLOGI KEJURUTERAAN PEMBUATAN  Universiti Malaysia Pahang Al-Sultan Abdullah
287  UR4543001                         DIPLOMA TEKNOLOGI KEJURUTERAAN POLIMER Baru                     Universiti Malaysia Perlis
289  UE4524002                               DIPLOMA TEKNOLOGI KIMIA PERINDUSTRIAN                      Universiti Teknologi Mara
290  UE4213003                          DIPLOMA TEKNOLOGI KOMUNIKASI MEDIA DIGITAL                      Universiti Teknologi Mara
295  UE4541001                                           DIPLOMA TEKNOLOGI MAKANAN                      Universiti Teknologi Mara
298  UD4482001                                          DIPLOMA TEKNOLOGI MAKLUMAT                Universiti Sultan Zainal Abidin
299  UB4481001                                          DIPLOMA TEKNOLOGI MAKLUMAT            Universiti Tun Hussein Onn Malaysia
300  UA4545001                                            DIPLOMA TEKNOLOGI MAKMAL             Universiti Pendidikan Sultan Idris
301  UD4725002                                  DIPLOMA TEKNOLOGI MAKMAL PERUBATAN                Universiti Sultan Zainal Abidin
302  UE4725001                                  DIPLOMA TEKNOLOGI MAKMAL PERUBATAN                      Universiti Teknologi Mara
304  UD4540001                                         DIPLOMA TEKNOLOGI PEMBUATAN                Universiti Sultan Zainal Abidin
305  UE4620003                                 DIPLOMA TEKNOLOGI PENGELUARAN HERBA                      Universiti Teknologi Mara
306  UE4213006                                 DIPLOMA TEKNOLOGI PERCETAKAN Baru #                      Universiti Teknologi Mara
307  UE4545003                                           DIPLOMA TEKNOLOGI POLIMER                      Universiti Teknologi Mara
308  UE4214001                              DIPLOMA TEKNOLOGI REKABENTUK DALAMAN #                      Universiti Teknologi Mara
309  UE4214002                           DIPLOMA TEKNOLOGI SENI REKA FESYEN Baru #                      Universiti Teknologi Mara
310  UE4214004                    DIPLOMA TEKNOLOGI SENI REKA PERINDUSTRIAN Baru #                      Universiti Teknologi Mara
312  UE4542001                               DIPLOMA TEKNOLOGI TEKSTIL DAN PAKAIAN                      Universiti Teknologi Mara
313  UE4526002                                                  DIPLOMA UKUR BAHAN                      Universiti Teknologi Mara
315  UE4526001                                               DIPLOMA UKUR BANGUNAN                      Universiti Teknologi Mara
316  UD4380001                                               DIPLOMA UNDANG-UNDANG                Universiti Sultan Zainal Abidin
317  UD4221006                                                   DIPLOMA USULUDDIN                Universiti Sultan Zainal Abidin
318  UU0345001                                            PROGRAM ASASI PENGURUSAN                      Universiti Utara Malaysia
319  UE6581001                            SARJANA MUDA SAINS (KEPUJIAN) SENIBINA #                      Universiti Teknologi Mara
358  UQ0340001                                     TAMHIDI PERAKAUNAN DAN MUAMALAT                Universiti Sains Islam Malaysia
359  UQ0421001                              TAMHIDI PERUBATAN, PERGIGIAN DAN SAINS                Universiti Sains Islam Malaysia
360  UQ0440005                                 TAMHIDI SAINS FIZIKAL DAN TEKNOLOGI                Universiti Sains Islam Malaysia
361  UQ0010002                                           TAMHIDI SAINS SOSIAL Baru                Universiti Sains Islam Malaysia
362  UQ0381001                                   TAMHIDI SYARIAH DAN UNDANG-UNDANG                Universiti Sains Islam Malaysia

[POLY/KK PROGRAMS] Orphans: 18
          code                                                                                 program_name                           university
12   OM0520001               ASASI KEJURUTERAAN & TEKNOLOGI - UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH                           Kolej Mara
13   OM0520002                               ASASI KEJURUTERAAN & TEKNOLOGI - UNIVERSITI TEKNOLOGI MALAYSIA                           Kolej Mara
43   FB0500001                                                    ASASI TEKNOLOGI KEJURUTERAAN (ASASI TVET)  Universiti Awam|berkenaan sahaja.">
52   FC3811006                                                     CERTIFICATE IN FOOD AND BEVERAGE SERVICE                       Kolej Komuniti
71   OP4344001                                                       DIPLOMA IN ACCOUNTING + DATA ANALYTICS               Kolej Profesional Mara
72   OP4344003            DIPLOMA IN ACCOUNTING + SAP S/4HANA FINANCIAL ACCOUNTING ASSOCIATES CERTIFICATION               Kolej Profesional Mara
74   OP4340002         DIPLOMA IN BUSINESS INFORMATION TECHNOLOGY + VISUAL BUSINESS ANALYTICS CERTIFICATION               Kolej Profesional Mara
75   OP4340003                                                                  DIPLOMA IN BUSINESS STUDIES               Kolej Profesional Mara
