masco_code,job_title,url
3154-06,Juruteknik Kenderaan Bermotor,https://emasco.mohr.gov.my/masco/3154-06
3154-09,Juruteknik Kejuruteraan Automotif,https://emasco.mohr.gov.my/masco/3154-09
3159-02,Penyelia Logistik,https://emasco.mohr.gov.my/masco/3159-02
3159-03,Penyelia Pengangkutan,https://emasco.mohr.gov.my/masco/3159-03
3211-03,Juruteknik Radiologi,https://emasco.mohr.gov.my/masco/3211-03
3257-47,Penolong Pegawai Teknologi Makanan Gred C29,https://emasco.mohr.gov.my/masco/3257-47
3257-49,Penolong Pegawai Kawalan Alam Sekitar Gred C29,https://emasco.mohr.gov.my/masco/3257-49
3313-03,Penyelia Kewangan,https://emasco.mohr.gov.my/masco/3313-03
3313-08,Penolong Pegawai Eksekutif (Perakaunan) Gred L8,https://emasco.mohr.gov.my/masco/3313-08
3313-09,Penolong Pegawai Eksekutif Perakaunan,https://emasco.mohr.gov.my/masco/3313-09
3313-15,Penolong Pegawai Eksekutif (Kewangan),https://emasco.mohr.gov.my/masco/3313-15
3313-17,Juruteknik Perakaunan,https://emasco.mohr.gov.my/masco/3313-17
3313-18,Juruteknik Audit Tenaga,https://emasco.mohr.gov.my/masco/3313-18
3313-23,Penolong Pengawal Kewangan,https://emasco.mohr.gov.my/masco/3313-23
4311-25,Pembantu Akauntan,https://emasco.mohr.gov.my/masco/4311-25
3315-06,Pelaras Insurans,https://emasco.mohr.gov.my/masco/3315-06
3322-16,Penolong Pegawai Pemasaran,https://emasco.mohr.gov.my/masco/3322-16
3322-24,Penolong Pembangunan Perniagaan,https://emasco.mohr.gov.my/masco/3322-24
3332-03,Ejen Pelancongan,https://emasco.mohr.gov.my/masco/3332-03
3332-05,Penganjur Persidangan dan Acara,https://emasco.mohr.gov.my/masco/3332-05
3332-08,Perancang Acara,https://emasco.mohr.gov.my/masco/3332-08
3341-16,Penolong Pegawai Penerbitan Gred N29,https://emasco.mohr.gov.my/masco/3341-16
3341-20,Penolong Pegawai Eksekutif (Pentadbiran),https://emasco.mohr.gov.my/masco/3341-20
3343-01,Penolong Pegawai Eksekutif (Kesetiausahaan) Gred 31,https://emasco.mohr.gov.my/masco/3343-01
3411-17,Penolong Pegawai Syariah Gred LS29,https://emasco.mohr.gov.my/masco/3411-17
3641-04,Chef,https://emasco.mohr.gov.my/masco/3641-04
3511-03,Pembantu Tadbir (Juruteknik Komputer) Gred 21,https://emasco.mohr.gov.my/masco/3511-03
