course_id,course,wbl,industry_demand,salary_range
UE4212001,DIPLOMA SENI MUZIK #,0,0,
UE4811001,DIPLOMA SENI PASTRI,0,0,
UE4213005,DIPLOMA SENI REKA GRAFIK Baru #,0,0,
UE4581001,DIPLOMA SENIBINA LANDSKAP #,0,0,
UE4343001,DIPLOMA SISTEM MAKLUMAT PERAKAUNAN,0,0,
UE4462001,DIPLOMA STATISTIK,0,0,
UD4221007,DIPLOMA SYARIAH,0,0,
UZ4221001,DIPLOMA TAHFIZ DAN TAFSIR AL-QURAN #,0,0,
UA4212002,DIPLOMA TARI #,0,0,
UE4212004,DIPLOMA TARI PERSEMBAHAN,0,0,
UE4212002,DIPLOMA TEATER,0,0,
UA4212003,DIPLOMA TEATER #,0,0,
UE4620001,DIPLOMA TEKNOLOGI AKUAKULTUR,0,0,
UB4213001,DIPLOMA TEKNOLOGI ANIMASI,0,0,
UE4582001,DIPLOMA TEKNOLOGI BINAAN,0,0,
UE4213002,DIPLOMA TEKNOLOGI FILEM #,0,0,
UE4581005,DIPLOMA TEKNOLOGI GEOSPATIAL,0,0,
UE4545001,DIPLOMA TEKNOLOGI HIGIEN INDUSTRI,0,0,
UE4543001,DIPLOMA TEKNOLOGI INDUSTRI PERKAYUAN,0,0,
UB4524001,DIPLOMA TEKNOLOGI KEJURUTERAAN KIMIA,0,0,
UR4524001,DIPLOMA TEKNOLOGI KEJURUTERAAN KIMIA Baru,0,0,
UR4521003,DIPLOMA TEKNOLOGI KEJURUTERAAN MEKANIKAL,0,0,
UJ4521002,DIPLOMA TEKNOLOGI KEJURUTERAAN PEMBUATAN,0,0,
UR4543001,DIPLOMA TEKNOLOGI KEJURUTERAAN POLIMER Baru,0,0,
UE4524002,DIPLOMA TEKNOLOGI KIMIA PERINDUSTRIAN,0,0,
UE4213003,DIPLOMA TEKNOLOGI KOMUNIKASI MEDIA DIGITAL,0,0,
UE4541001,DIPLOMA TEKNOLOGI MAKANAN,0,0,
UD4482001,DIPLOMA TEKNOLOGI MAKLUMAT,0,0,
UB4481001,DIPLOMA TEKNOLOGI MAKLUMAT,0,0,
UA4545001,DIPLOMA TEKNOLOGI MAKMAL,0,0,
UD4725002,DIPLOMA TEKNOLOGI MAKMAL PERUBATAN,0,0,
UE4725001,DIPLOMA TEKNOLOGI MAKMAL PERUBATAN,0,0,
UD4540001,DIPLOMA TEKNOLOGI PEMBUATAN,0,0,
UE4620003,DIPLOMA TEKNOLOGI PENGELUARAN HERBA,0,0,
UE4213006,DIPLOMA TEKNOLOGI PERCETAKAN Baru #,0,0,
UE4545003,DIPLOMA TEKNOLOGI POLIMER,0,0,
UE4214001,DIPLOMA TEKNOLOGI REKABENTUK DALAMAN #,0,0,
