course_id,source_type,institution_id,No,hyperlink,duration,single,monthly_allowance,practical_allowance,free_hostel,free_meals,tuition_fee,registration_fee
IJTM-CET-004,tvet,IJTM-032,76.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=40218,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-004,tvet,IJTM-034,77.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7306,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-005,tvet,IJTM-024,78.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=42539,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-005,tvet,IJTM-033,79.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30603,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-005,tvet,IJTM-034,80.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7300,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-006,tvet,IJTM-024,81.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=39077,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-007,tvet,IJTM-003,82.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36785,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-007,tvet,IJTM-019,83.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36755,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-007,tvet,IJTM-020,84.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36701,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-008,tvet,IJTM-019,85.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7480,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-008,tvet,IJTM-032,86.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30540,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-009,tvet,IJTM-002,87.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33911,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-009,tvet,IJTM-003,88.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33956,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-009,tvet,IJTM-013,89.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33989,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-009,tvet,IJTM-014,90.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33995,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-009,tvet,IJTM-016,91.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33977,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-009,tvet,IJTM-021,92.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33862,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-009,tvet,IJTM-023,93.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=34007,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-009,tvet,IJTM-024,94.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33914,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
